DBH (m),Crown diameter (m),Frequency of occupancy (%),Maximum number of batsper tree,Tree density (trees/ha),Distance to nearest building (m),Distance to nearest neighbour roost tree (m),Average monthly no. of bats per tree,Plot basal Area (m2/ha)
0.72,7.40,3.13,16,80,9.23,3.87,0.5,28.8
0.57,10.56,3.13,3,70,13.95,39.14,0.1,7.4
0.38,11.00,74.19,105,60,1.78,9.27,18.2,6.5
0.53,17.00,9.38,12,40,7.58,4.60,0.5,11.5
0.45,11.20,47.37,221,20,8.86,43.83,26.5,4.9
0.32,4.00,83.33,31,70,2.14,4.03,15.2,7.4
0.52,9.60,7.14,2,90,17.02,17.20,0.1,11.8
0.40,8.80,55.56,8,90,14.84,35.03,1.7,10.4
0.27,6.00,57.14,33,50,31.64,16.34,8.1,1.7
0.63,16.00,71.43,111,80,26.61,16.45,22.4,25.2
0.39,12.80,83.33,27,30,14.21,11.88,6.0,7.0
0.40,8.32,40.00,37,20,10.04,13.46,13.4,2.6
0.19,5.80,57.14,20,70,40.38,5.95,3.9,16.1
0.25,6.00,100.00,4,100,26.50,10.08,3.0,17.7
0.47,12.20,100.00,20,30,16.50,10.09,15.0,4.2
0.70,13.00,100.00,1,20,25.03,43.33,1.0,4.5
0.77,15.96,33.33,43,40,3.01,31.41,6.0,8.5
1.02,19.70,6.25,12,80,10.76,2.03,0.4,28.8
0.42,12.80,40.00,61,90,4.51,7.86,5.0,8.5
0.87,19.92,35.48,12,80,36.39,2.43,1.6,14.4
0.67,14.60,25.00,8,80,34.62,2.43,0.7,14.4
0.40,7.10,69.23,41,20,9.45,24.80,7.7,1.6
0.72,13.20,100.00,343,10,3.59,44.06,107.8,4.0
0.37,11.94,25.00,105,40,14.82,5.54,15.0,11.3
0.56,5.20,85.71,45,50,8.13,1.00,26.0,7.6
1.19,21.00,81.25,1122,110,25.22,10.08,246.9,26.4
0.42,13.56,16.67,17,60,4.55,24.44,2.8,3.2
0.54,14.00,25.00,98,60,33.33,7.56,9.0,14.7
0.68,16.00,35.48,39,80,37.56,7.56,4.0,15.3
0.99,24.00,15.63,32,90,43.78,7.56,1.5,18.5
