BAT,Bat ID,Sex,Age,Lat,Lon
1,0.035,M,SA,6.998499976,0.440865811
1,0.035,M,SA,6.998499976,0.440865811
2,0.045,M,SA,7.002100926,0.436567822
3,0.065,M,AD,7.002175525,0.435386561
3,0.065,M,AD,7.002175525,0.435386561
3,0.065,M,AD,7.002175525,0.435386561
3,0.065,M,AD,7.001133068,0.436053425
3,0.065,M,AD,6.996149356,0.441918494
3,0.065,M,AD,6.996149356,0.441918494
3,0.065,M,AD,7.002028339,0.434797229
3,0.065,M,AD,7.002028339,0.434797229
3,0.065,M,AD,7.001076574,0.436047222
3,0.065,M,AD,7.001076574,0.436047222
4,0.105,M,SA,7.002175525,0.435386561
4,0.105,M,SA,7.001186712,0.435947478
4,0.105,M,SA,7.001133068,0.436053425
4,0.105,M,SA,7.001076574,0.436047222
4,0.105,M,SA,7.001076574,0.436047222
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997533292,0.436953893
5,0.135,M,SA,6.997562712,0.436283341
5,0.135,M,SA,6.996149356,0.441918494
5,0.135,M,SA,6.996149356,0.441918494
5,0.135,M,SA,6.996149356,0.441918494
6,0.155,M,SA,7.002175525,0.435386561
6,0.155,M,SA,7.002175525,0.435386561
6,0.155,M,SA,7.002175525,0.435386561
6,0.155,M,SA,7.001973018,0.435585296
7,0.165,M,AD,6.996265445,0.440543275
7,0.165,M,AD,6.996313557,0.441462016
7,0.165,M,AD,6.996149356,0.441918494
7,0.165,M,AD,6.996149356,0.441918494
7,0.165,M,AD,6.996149356,0.441918494
7,0.165,M,AD,6.996149356,0.441918494
8,0.195,M,AD,6.997676957,0.43956209
8,0.195,M,AD,7.00010268,0.436897818
8,0.195,M,AD,6.997392476,0.43974448
8,0.195,M,AD,7.000470227,0.437569628
8,0.195,M,AD,7.000265792,0.437751599
8,0.195,M,AD,7.001076574,0.436047222
