Tree species,Roost/non roost,Height (m),DBH (m),Crown Diameter(m),Tree Density (trees/ha),Plot Basal Area (m2/ha),Distance to Building (m)
Unidentified sp1,Non-roost,5.0,0.2,2.6,90.0,11.6,16.8
Unidentified sp1,Non-roost,4.8,0.3,3.8,10.0,0.6,42.2
Unidentified sp2,Roost,17.0,0.7,7.4,80.0,28.8,9.2
Unidentified sp7,Non-roost,12.0,0.4,4.6,80.0,7.8,14.0
Unidentified sp8,Non-roost,6.6,0.5,7.9,90.0,11.6,14.4
Albizia lebbeck,Non-roost,12.0,0.5,14.2,30.0,7.3,7.0
Alstonia boonei,Non-roost,4.2,0.4,4.5,40.0,3.5,18.0
Anacardium occidentale,Non-roost,5.2,0.3,6.0,40.0,7.7,12.4
Anacardium occidentale,Non-roost,8.4,0.6,15.5,30.0,9.0,67.0
Anacardium occidentale,Non-roost,7.8,0.8,12.9,10.0,4.4,21.4
Anacardium occidentale,Non-roost,6.8,0.8,8.7,20.0,7.3,65.8
Annona muricata,Non-roost,5.8,0.1,3.0,20.0,1.2,13.3
Annona muricata,Non-roost,5.2,0.1,1.3,90.0,12.6,2.6
Annona muricata,Non-roost,6.0,0.1,6.6,30.0,2.4,13.7
Annona muricata,Non-roost,4.4,0.2,6.3,40.0,4.6,10.8
Annona muricata,Non-roost,4.8,0.2,2.8,20.0,2.2,6.2
Annona muricata,Non-roost,4.6,0.2,5.2,40.0,1.4,6.6
Annona muricata,Non-roost,8.2,0.2,3.7,160.0,13.7,12.4
Annona muricata,Non-roost,5.8,0.2,2.8,100.0,13.7,2.7
Annona muricata,Non-roost,6.0,0.2,8.0,60.0,8.2,21.8
Annona muricata,Non-roost,4.6,0.2,3.2,40.0,1.4,3.3
Annona muricata,Non-roost,6.0,0.2,3.2,40.0,3.8,16.7
Annona muricata,Non-roost,8.0,0.2,3.8,110.0,31.3,6.9
Annona muricata,Non-roost,4.6,0.2,2.2,20.0,0.8,11.2
Annona muricata,Non-roost,7.0,0.2,5.8,20.0,1.9,8.1
Annona muricata,Non-roost,7.8,0.2,3.4,110.0,6.7,12.3
Annona muricata,Non-roost,6.4,0.2,3.4,50.0,3.5,3.3
Annona muricata,Non-roost,6.6,0.2,3.6,90.0,11.2,16.6
Annona muricata,Non-roost,8.0,0.2,8.0,100.0,28.1,3.8
Annona muricata,Non-roost,6.6,0.2,4.4,40.0,4.4,31.1
Annona muricata,Non-roost,7.1,0.2,3.4,50.0,10.4,28.5
Annona muricata,Non-roost,7.4,0.2,2.0,60.0,7.2,8.8
Annona muricata,Non-roost,7.4,0.2,4.0,100.0,7.6,12.3
Annona muricata,Non-roost,7.6,0.2,4.0,60.0,9.6,22.2
Annona muricata,Non-roost,9.4,0.2,6.5,140.0,13.0,13.2
Annona muricata,Non-roost,8.2,0.3,10.1,10.0,0.5,24.6
Annona muricata,Non-roost,7.2,0.3,5.2,20.0,1.1,14.4
Annona muricata,Non-roost,6.6,0.3,6.0,80.0,10.4,9.5
Annona muricata,Non-roost,8.2,0.3,4.4,40.0,13.8,5.8
Annona muricata,Non-roost,5.0,0.5,3.2,40.0,3.5,23.1
Anogeissus leiocarpus,Roost,15.4,0.6,10.6,70.0,7.4,13.9
Anthocleista vogelii,Non-roost,13.8,0.6,10.8,60.0,8.2,21.8
Antiaris toxicaria,Non-roost,12.8,0.3,11.7,70.0,12.8,37.8
